slug,term,code,opus,sonnet,detector,tier,severity,explanation
acquisition-by-a-not-for-profit-entity,Acquisition by a Not-for-Profit Entity,CIRC,False,True,True,one model,2,"This entry and 'business combination' define each other by cross-reference (each says it has the same meaning as the other in its respective context), forming a two-node cycle that requires reading both entries together to understand either."
acquisition-by-a-not-for-profit-entity,Acquisition by a Not-for-Profit Entity,MALFORMED,True,False,False,one model,1,"The mapping sentence is inverted. It should say that business combination means, for an NFP, what this term means, not the reverse. The CIRC flag is a false positive: the definition is contentful on its own and does not require the business combination entry to be understood."
acquisition-of-properties,Acquisition of Properties,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only points to the SEC rule text. The target paragraph exists in the Codification, so the pointer can be followed."
activities,activities,INCONS,True,False,False,one model,2,"The generic term links to NFP fundraising guidance, where 'activities' has an unrelated meaning. The capitalization-specific definition does not fit that use, and the entry does not limit its scope."
activities,activities,MALFORMED,True,False,False,one model,2,"The entry is named 'activities', but what it actually defines is 'activities necessary to bring an asset to the condition and location necessary for its intended use', as 360-10-30-2 shows. As a result, 'the asset' has no antecedent."
actual-income-available-method,actual-income-available,MALFORMED,True,False,False,one model,1,"The entry name is an adjectival fragment. The definition defines 'A method', but the term omits the word 'method' that its key and the linked paragraph imply."
actual-return-on-plan-assets-component-of-net-periodic-pension-cost,Actual return on plan assets,HOMONYM,True,True,True,both models,3,Another entry has the same name but a different definition that includes expenses such as fund income taxes. This entry does not state where each definition applies.
actual-return-on-plan-assets-component-of-net-periodic-postretirement-benefit-cost,Actual return on plan assets,HOMONYM,True,True,True,both models,1,"Another glossary entry has the same name but different wording. Neither entry says which Topic it applies to (715-60 postretirement vs. 715-30 pension). The two are substantively consistent, so the defect is cosmetic."
actuarial-calculation,actuarial calculation,CIRC,False,True,True,one model,2,"The definition of actuarial calculation depends on 'net closed block liability,' which together with 'actuarial calculation date' forms a mutually referpotent group of terms in this Topic, per the detector's flagged cycle."
actuarial-calculation,actuarial calculation,INCONS,True,False,False,one model,2,The definition equates the actuarial calculation with the periodic expected changes in the net closed block liability. Paragraph 944-805-30-3 instead treats the calculation as a projection of cash flows from which those expected changes are derived.
actuarial-calculation-date,actuarial calculation date,CIRC,False,True,True,one model,2,"This entry's definition depends on 'actuarial calculation,' which in turn depends on 'net closed block liability,' forming a small mutually dependent cluster of terms as flagged by the detector."
actuarial-present-value-of-accumulated-plan-benefits,actuarial present value of accumulated plan benefits,CIRC,True,True,True,both models,2,"This entry is measured 'as of a benefit information date', and that date is defined only by reference back to this entry. Accumulated plan benefits also depends on the benefit information date. The cycle is genuine, but the paragraph references to 960-20-25 anchor the content, which limits the harm."
affiliate,Affiliate,HOMONYM,True,False,False,one model,1,"The cross-reference points to Control, a term with several glossary entries that have different definitions. The reader is not told which one applies."
agent,agent,SCOPECONF,True,False,False,one model,1,"The entry acknowledges that the word has a different (legal) meaning. It then extends the term with NFP-specific relationships, although it is linked from 12 subtopics. The entry does not delimit where the broad meaning applies."
agricultural-cooperative,Agricultural Cooperative,CIRC,True,True,True,both models,2,"The qualifying requirements depend on the notion of member. The glossary defines member of an agricultural cooperative as an owner-patron of an agricultural cooperative, so each term requires the other."
agricultural-cooperative,Agricultural Cooperative,NONAUTH,False,True,False,one model,3,"The definition is copied nearly verbatim from a federal statute (the Agricultural Marketing Act of 1929) rather than from authoritative GAAP, making the entry dependent on a non-GAAP legal source for its substantive content."
agricultural-cooperative,Agricultural Cooperative,MALFORMED,True,False,False,one model,1,"The entry defines 'cooperative association' by quoting a statute rather than defining the entry term. It also contains the fragment 'Provided, however, that...' and refers to 'the requirements in this paragraph', which is wording carried over from the statute."
air-carrier,air carrier,UNDEF,True,False,False,one model,1,"The definition depends on 'air transportation', which no glossary entry defines. Its meaning is left to the ordinary or statutory sense."
allowable-costs,allowable costs,MALFORMED,True,False,False,one model,1,"The phrase 'In that context' has no antecedent in the entry. It is a remnant of the source text's rate-regulation setting, which the entry never states, even though the definition only makes sense for rate-regulated entities."
allowed-claim,allowed claims,MALFORMED,False,True,False,one model,1,"Entry slug/key is singular ('allowed-claim') while the glossary term itself is plural ('allowed claims'), a minor naming inconsistency but does not affect the substance of the definition."
amenities,amenities,POINTER,False,True,False,one model,1,"The entry gives a substantive definition but appends a cross-reference to another term ('Promised Amenities'); this is a minor pointer addendum, not a defect in the core definition."
amenities,amenities,INCONS,True,False,False,one model,2,"The definition limits amenities to time-sharing intervals, but 340-970-25-9 uses the term for real estate projects generally ('in connection with the sale of individual units')."
amortization,Amortization,SCOPECONF,True,False,False,one model,1,"The entry itself gives the word a second meaning in the pension and postretirement context. It does say where that meaning applies, so the harm is limited."
annual-policyholder-dividends,Annual policyholder dividends,UNDEF,True,False,False,one model,1,'Divisible surplus' is an insurance technical term that no glossary entry defines.
annuity-trust,annuity trust,POINTER,True,True,True,both models,2,The entry defines nothing and only redirects the reader to another term.
annuity-trust,annuity trust,INCONS,True,False,False,one model,2,The Codification also uses 'annuity trust' for charitable lead trusts (958-30-05-9). A pointer only to Charitable Remainder Trust does not cover this use.
applicable-statutory-federal-income-tax-rate,applicable statutory Federal income tax rate,NONAUTH,False,True,False,one model,2,SEC Staff Accounting Bulletins are SEC staff guidance reproduced for SEC registrants and are not authoritative GAAP under Topic 105 for general applicability.
applicable-statutory-federal-income-tax-rate,applicable statutory Federal income tax rate,POINTER,True,True,True,both models,2,The entry gives no definition and only refers the reader to SEC staff material in an S99 paragraph.
asset-retirement-obligation,Asset Retirement Obligation,INCONS,True,False,False,one model,1,"Subtopic 410-20 applies the term only to legal obligations. The glossary wording omits the 'legal' qualifier, so it is broader than the term's use in the Codification."
associate,associate,POINTER,True,True,True,both models,2,The entry gives no definition and only refers the reader to an SEC rule paragraph. The detector's DANGLING flag appears to be a false positive: the target paragraph (the text of Rule 9-03) is linked and exists.
associate,associate,DANGLING,False,True,True,one model,2,"The paragraph cited as the source of the definition (942-210-S99-1) does not match the paragraph number shown in the linked-from evidence (210-942-S99-1), suggesting the pointer target as written may not correspond to an existing paragraph."
assumed-per-capita-claims-cost-by-age,assumed net incurred claims cost,INCONS,True,False,False,one model,2,715-60-35-92 uses 'assumed net incurred claims cost' for an amount derived after adjustments. That conflicts with the gross per capita definition supplied under this name.
assumed-per-capita-claims-cost-by-age,assumed net incurred claims cost,MALFORMED,True,True,False,both models,3,"The entry name does not match what is defined. The text defines assumed per capita claims cost (by age), not assumed net incurred claims cost, which is a different, net amount used in 715-60-35-92."
assuming-entity,assuming entity,CIRC,False,True,True,one model,1,"Assuming entity and ceding entity are reciprocal roles that reference each other, but each is independently understandable; this is a natural correlative pair rather than a problematic circularity."
attribution-period,attribution period,CIRC,False,True,True,one model,1,"The entry cross-references Credited Service Period, but the cited definition does not reference back to attribution period, so this is not a genuine circularity, only a flagged mutual link."
available-for-sale-securities,Available-for-Sale Securities,STALE,True,False,False,one model,2,"The wording keeps the pre-ASU 2016-01 scope, in which equity securities with readily determinable fair values could be classified as available for sale. That scope has been superseded."
available-for-sale-securities,Available-for-Sale Securities,INCONS,True,False,False,one model,2,"Topic 320 now applies the available-for-sale category only to debt securities (""an entity shall classify debt securities into one of the following three categories""). Equity securities can no longer be classified as available for sale. The residual definition ""Investments"" is therefore broader than how the Codification uses the term."
baby-bonds,baby bonds,CIRC,False,True,True,one model,1,"Payment-in-Kind Bonds' definition mentions 'baby bonds' as an alternate name, creating a mutual reference, though the underlying concept is fully defined in the target entry."
baby-bonds,baby bonds,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only redirects the reader. The target entry exists and explains that the additional debt securities are called baby bonds, so the redirect works. The mutual reference is not a true circularity, because payment-in-kind bonds can be understood without the baby bonds entry."
backplant,backplant,SELF,False,True,False,one model,1,"The definition of 'backplant' uses 'title plant' twice in a way that is somewhat circular, defining a title plant in terms of another title plant without further content."
backplant,backplant,UNDEF,False,True,False,one model,2,"The definition relies on the term 'title plant,' which is not itself defined in the glossary, leaving the meaning of 'backplant' underspecified."
balance-sheets,Balance sheets,NONAUTH,False,True,False,one model,2,"Regulation S-X is an SEC rule, not authoritative U.S. GAAP under the FASB Codification's own hierarchy for non-SEC registrants."
balance-sheets,Balance sheets,POINTER,True,True,True,both models,2,"The entry defines nothing itself. It only points to the SEC Regulation S-X text reproduced in the Codification. The target paragraph exists and is linked, so the reader can resolve it."
bargaining-cooperative,bargaining cooperatives,UNDEF,False,True,False,one model,1,"The definition depends on the term 'service cooperative,' which is not defined elsewhere in the glossary."
benefit,benefits,POINTER,True,True,True,both models,2,The entry defines nothing and only refers the reader to another term.
benefit,benefits,DANGLING,False,True,True,one model,3,"No glossary entry named 'Tax (or Benefit)' is confirmed to exist in the provided data, so the pointer may lead nowhere."
benefit,benefits,HOMONYM,True,True,True,both models,2,This entry shares the name 'benefits' with the plan-benefits entry but carries an unrelated tax meaning. It gives no indication of where each meaning applies.
benefit,benefits,INCONS,True,False,False,one model,2,The entry is linked from a pension plan example where 'benefits' means plan benefits. The tax-benefit meaning it points to conflicts with that use.
benefit-formula,benefit formula,POINTER,True,True,True,both models,2,"This is a pointer-only entry. The target term Pension Benefit Formula exists in the Master Glossary, so the detector's DANGLING flag appears to be a false positive, and the pointer resolves."
benefit-formula,benefit formula,DANGLING,False,True,True,one model,3,"The referenced term 'Pension Benefit Formula' does not appear to exist as a separate glossary entry, making the pointer unresolvable."
benefit-information-date,benefit information date,CIRC,True,True,True,both models,2,"The benefit information date is defined through the actuarial present value of accumulated plan benefits. That term is 'the amount as of a benefit information date', and accumulated plan benefits are those attributable to 'service rendered to the benefit information date'. Understanding each entry requires the others, so this is a genuine cycle."
benefit-security,Benefit security,NONAUTH,False,True,False,one model,2,"The source paragraph explicitly states this term is not part of the authoritative standards text, meaning the glossary definition rests on non-codified, non-authoritative usage."
benefits,Benefits,HOMONYM,True,True,True,both models,2,"A second entry with the same name, 'benefits', points to the income tax meaning. Neither entry states where each meaning applies, and this entry is linked from 12 subtopics."
benefits-of-servicing,benefits of servicing,INCONS,True,False,False,one model,2,Paragraph 860-50-05-4 lists 'A portion of the interest from the financial assets' among the benefits of servicing. The glossary definition omits it.
board-designated-endowment-fund,Board-Designated Endowment Fund,CIRC,False,True,True,one model,2,"The definition depends on 'endowment fund' and 'funds functioning as endowment', which in turn reference 'board-designated endowment fund' and 'donor-restricted endowment fund', forming a genuine mutual-dependency cycle where each term's meaning relies on the others."
board-designated-endowment-fund,Board-Designated Endowment Fund,INCONS,True,False,False,one model,2,"The entry treats 'funds functioning as endowment' as a synonym. That entry is limited to net assets without donor restrictions. This entry then says a board-designated endowment fund can include net assets with donor restrictions, so the two supposedly synonymous entries conflict. The CIRC flag is a false positive: 'See Endowment Fund' is a cross-reference, and the definition can be understood without its cycle partners."
box-spread,box spreads,MALFORMED,True,False,False,one model,1,"The sentence is garbled: the verb governing 'the long calls and short puts' is missing. The first sentence also lists exercise price among the identical features, which the last sentence then contradicts. The meaning is still recoverable."
broker-assisted-cashless-exercise,Broker-Assisted Cashless Exercise,STALE,True,False,False,one model,1,"The description of the typical process is dated. Topic 718, as amended by ASU 2016-09, permits withholding up to the maximum statutory rate rather than the minimum. Settlement is no longer generally three days later, and stock certificates are rarely delivered. This is illustrative text only, so the core definition still works."
business,Business,POINTER,True,True,True,both models,3,"The entry gives no definition and only points to Topic 805 paragraphs. Those target paragraphs exist and are authoritative, so this is not a dangling pointer."
calculated-value,calculated value,UNDEF,False,True,False,one model,1,"The term 'option-pricing model' is used without a glossary definition, though it is a well-understood technical term in practice."
call-option,call option,POINTER,False,True,False,one model,1,"The entry provides a substantive definition but also appends a pointer to related terms, which is supplementary rather than pointer-only."
capitalization-rate,capitalization rate,SELF,False,True,False,one model,1,"The definition uses a form of 'capitalize' to define 'capitalization rate,' a mild circularity but still conveys meaningful content."
captive-insurer,captive insurer,UNDEF,True,False,False,one model,1,"'Related entities' is not a glossary term; the glossary defines 'related parties', which is the wording used in 715-60-35-110 ('the employer and related parties')."
career-average-pay-formula,career-average-pay,MALFORMED,False,True,False,one model,1,"The entry slug includes '-formula' while the glossary term itself is listed as 'career-average-pay,' creating a minor mismatch between key and term name."
carrying-amount,carrying amount,STALE,True,False,False,one model,1,"The wording predates the current credit loss guidance (allowance for credit losses, amortized cost basis). The linked paragraph 310-20-40-3 itself uses 'amortized cost basis'."
carrying-amount,carrying amount,INCONS,True,False,False,one model,2,"The definition covers only receivables and payables, but the Codification uses the term for nonfinancial assets such as real estate investments and long-lived assets. The definition gives no meaning for those uses."
cash-consideration,Cash Consideration,INCONS,False,True,False,one model,1,"The entry mixes a definition of cash consideration with an unrelated discussion of share-based payment awards, muddying the core definition without changing its substance."
cash-flows-expected-at-acquisition,Cash Flows Expected at Acquisition,POINTER,False,True,False,one model,1,"A long list of paragraph citations is appended after the substantive definition; while not purely a pointer entry, the citation list adds clutter without content."
cash-surrender-value,cash surrender value,INCONS,False,True,False,one model,1,"The entry itself admits inconsistent usage of the term across contracts, which weakens its authority as a fixed definition, though it directs readers to economic substance."
cashless-exercise,cashless exercise,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only redirects to another glossary term. The target term exists and is illustrated in 815-10-55-90, so the pointer resolves."
causes,causes,SELF,True,False,False,one model,1,"The definition opens by repeating the term itself. The rest of the sentence (conditions, needs, concerns addressed by NFP programs) supplies the content, so the tautology is only cosmetic."
ceding-entity,ceding entity,CIRC,False,True,True,one model,2,"This entry and 'assuming entity' define each other reciprocally, forming a two-term cycle where each definition depends on understanding the other."
certificates,certificates,INCONS,False,True,False,one model,1,"The entry acknowledges that the term's meaning varies among legal documents, which is a caveat rather than a fatal flaw but slightly undermines definitional precision."
charitable-gift-annuity,Charitable gift annuities,MALFORMED,True,False,False,one model,1,"The entry name is plural, while the definition describes a single arrangement (""A transfer of assets..."") and the slug is singular. This is a cosmetic mismatch only."
claims-stabilization-reserve,claims stabilization reserve,SCOPECONF,False,True,False,one model,2,"The entry itself acknowledges that the term's meaning varies across contracts and instructs readers to judge applicability by economic substance, indicating the definition cannot be applied uniformly as written."
claims-stabilization-reserve,claims stabilization reserve,MALFORMED,True,False,False,one model,1,The sentence is garbled and redundant. It compares a policy without a reserve to a policy without a reserve. The intended comparison is presumably with a policy that has a reserve.
combination-award,combination award,INCONS,False,True,False,one model,1,"The linked paragraph describes the award as one whose components 'can be exercised' collectively, while the glossary definition specifies each component 'can be separately exercised'; the phrasing differs slightly though not substantively."
common-stock,common stock,INCONS,False,True,False,one model,1,"This is a highly simplified characterization; the Codification's usage of 'common stock' encompasses more nuance (e.g., voting rights, residual claims) than mere subordination, though it is not contradicted outright."
compensation,compensation,INCONS,False,True,False,one model,1,"This narrow definition may not capture all forms of compensation recognized elsewhere in GAAP (e.g., stock-based compensation), though it is not directly contradicted."
compensation-plan,compensation plan,HOMONYM,False,True,False,one model,2,"This entry defines 'compensation plan' only in the narrow context of investment company distribution fees under Rule 12b-1, yet the term 'compensation plan' is used elsewhere in the Codification (e.g., Topic 718 stock compensation) with an entirely different meaning, and the entry does not indicate this scope limitation."
compensation-plan,compensation plan,INCONS,True,False,False,one model,2,"The Master Glossary gives the generic phrase 'compensation plan' a meaning that applies only to investment company distribution plans (Topic 946). It does not say it is limited to that Topic. Elsewhere in the Codification, for example in share-based and deferred compensation guidance, 'compensation plan' refers to employee compensation arrangements."
compliance-environmental-credit,Compliance Environmental Credit,PENDING,False,True,True,one model,1,"The entry concatenates current and pending transition dates for the same definition; while the substantive definition is unchanged, the juxtaposed dates could confuse a reader unfamiliar with the transition guidance format."
comprehensive-income,Comprehensive Income,CIRC,True,True,True,both models,2,"This entry sits in a dependency cycle with net income and other comprehensive income. Other comprehensive income is defined by reference to comprehensive income and net income, and net income is defined by reference to other comprehensive income. Comprehensive income itself is independently defined as the change in equity from nonowner sources, so it can be applied without resolving the cycle. The circularity impairs the partner entries more than this one."
condensed-statements,Condensed Statements,PENDING,False,True,True,one model,1,"The entry concatenates a current and pending transition date variant, but the substantive definition text is identical in both versions, so it does not confuse the reader about meaning."
confirmed-plan,confirmed plan,STALE,True,False,False,one model,1,"Section 1129(a) was amended and now lists more than 11 requirements, so the count is outdated."
confirmed-plan,confirmed plan,MALFORMED,True,False,False,one model,2,"The entry is named for a plan, but the text defines the act of confirmation. The term 'confirmed plan' is never defined as the plan itself."
consideration-in-the-contract,Consideration in the Contract,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only points to the lessee and lessor paragraphs. The targets appear to exist and are authoritative, so the impact is minor."
consolidated-affiliate,Consolidated Affiliate of the Transferor,MALFORMED,True,False,False,one model,2,"The entry is named 'Consolidated Affiliate of the Transferor', but the definition never mentions the transferor. Read literally, it covers any entity in the statements presented, including the reporting entity itself."
contingent-stock-agreement,contingent stock agreement,CIRC,False,True,True,one model,2,"This entry and 'contingently issuable shares' define each other by mutual cross-reference, forming a two-node cycle; understanding either term fully requires the other, though each also contains some independent content."
contingently-issuable-shares,contingently issuable shares,CIRC,False,True,True,one model,2,This entry and 'contingent stock agreement' reference each other circularly; each definition depends on the other for full meaning.
contract-period,Contract Period,CIRC,False,True,True,one model,1,"The glossary entry for 'coverage period' merely points back to Contract Period, creating a trivial two-node cycle. Contract Period's own definition is self-contained and mentions 'coverage period' only as a synonym, so understanding it does not require the other entry; this is a benign pointer pair rather than a substantive circularity."
contractually-specified-component,contractually specified component,STALE,False,True,True,one model,3,"The entry itself states it has been superseded by a subsequent ASU, meaning the definition as written is no longer authoritative current GAAP without consulting the superseding standard."
contractually-specified-component,contractually specified component,PENDING,True,True,True,both models,2,"The entry shows the current definition and a pending supersession note together. The two versions differ: the current one defines the term, and the pending one removes it. The entry does not say clearly which applies to whom or when, so the reader must work it out from transition paragraph 815-20-65-7."
contributions-receivable,Contributions Receivable,INCONS,True,False,False,one model,2,"The definition only covers employee benefit plans, but the entry is also linked from not-for-profit guidance (205-958-55-7), where contributions receivable are donors' unconditional promises to give. The entry does not say it applies only to plans."
control-of-a-not-for-profit-entity,Control of a Not-for-Profit Entity,POINTER,True,True,True,both models,2,"The entry defines nothing and only refers the reader to 'Control'. Control is a word with several meanings across GAAP, and the pointer does not say which meaning applies to not-for-profit entities."
controlled-amortization-method,controlled amortization method,UNDEF,True,False,False,one model,1,"The fixed, preset and floating liquidation methods are named, but the definition supplies no definitions for them."
conversion-rate,conversion rate,CIRC,True,True,True,both models,2,This entry and 'convertible security' define each other. The cycle is mild because the ratio concept can still be understood from the example given.
convertible-security,convertible security,CIRC,True,True,True,both models,2,This entry forms a mutual-definition cycle with 'conversion rate'.
convertible-security,convertible security,SELF,True,False,False,one model,2,"The definition largely restates the term. Its only added content is a reference to 'conversion rate', which in turn is defined in terms of convertible security."
cooperative-housing-corporation,Cooperatives,MALFORMED,True,True,False,both models,2,"The entry name 'Cooperatives' does not match the term actually defined, which is 'cooperative housing corporation' (also the entry key)."
corporate-joint-venture,Corporate Joint Venture,CIRC,False,True,True,one model,1,"The detector flags a cycle with 'joint venture,' but the corporate joint venture definition is largely self-contained and only loosely overlaps via the term 'joint venturers,' making the circularity minor and not essential to understanding the term."
cost-recovery-method,cost recovery method,STALE,True,False,False,one model,1,"The only linking paragraph sits in a Topic 605 subtopic, which is legacy revenue guidance that has been largely superseded or relocated."
cost-recovery-method,cost recovery method,INCONS,True,False,False,one model,2,"The entry gives only an insurance-premium meaning and does not say where it applies. Elsewhere in the Codification (for example, receivables and real estate guidance), 'cost recovery method' means recognizing no income until the cost is recovered. The generic term therefore conflicts with its other uses."
cost-type-contracts,cost-type (including cost-plus) contract,DANGLING,False,True,False,one model,2,"The definition points to several named contract variants that do not appear to exist as separate Master Glossary entries, leaving the pointers unresolved."
cost-type-contracts,cost-type (including cost-plus) contract,STALE,True,False,False,one model,2,"The entry originates from Subtopic 605-35, which was superseded by ASU 2014-09. The 'see also' variant contract types come from the same legacy guidance."
costs-incurred-to-sell-real-estate-projects,Costs incurred to sell real estate projects,STALE,False,True,False,one model,2,"The paragraph from which this entry is linked has been superseded by ASU 2014-09, indicating the definition may rest on outdated guidance that has since been replaced by ASC 606."
coverage-period,coverage period,POINTER,True,True,True,both models,2,"The entry defines nothing itself and only redirects to its synonym. The target does define the term and names 'coverage period' as an alternative name, so this is a harmless redirect rather than a true cycle; the detector's CIRC flag is a false positive."
cram-down-provisions,cram-down provisions,INCONS,True,False,False,one model,2,"The first sentence describes the ordinary acceptance requirement, not cram-down. Cram-down is the exception described only in the following 'However' sentence, so the lead definition states the opposite of the term."
credit-quality-indicator,Credit Quality Indicator,INCONS,True,False,False,one model,1,"The implementation guidance at 326-20-55-15 lists 'Collateral' as a credit quality indicator. Collateral is not a statistic, so the definition is narrower than the Codification's own usage."
credit-risk,Credit Risk,UNDEF,True,False,False,one model,1,'Credit sector' is a technical term that no glossary entry defines.
credit-risk,Credit Risk,INCONS,True,False,False,one model,2,"The definition applies only to hedged items and hedged transactions. It is linked from non-hedging paragraphs, such as 815-10-05-9 on guaranteed investment contracts and 815-10-15-117 on assignment clauses, where the term has its general meaning of counterparty default risk. The definition as written does not fit those uses."
credited-service-period,credited service period,CIRC,False,True,True,one model,1,"The entry cross-references Attribution Period, whose own definition likewise references credited service period concepts, forming a mild mutual dependency; however, each entry is independently understandable, so this is a minor circularity rather than a substantive one."
current-cost-constant-purchasing-power-accounting,current cost-constant purchasing power,MALFORMED,True,False,False,one model,1,The entry name lacks 'accounting' although the entry defines 'a method of accounting' and the key includes 'accounting'. The name does not exactly match what is defined.
curtailment,curtailment,POINTER,True,True,True,both models,2,"The entry defines nothing and only refers the reader to the Plan Curtailment entry. That entry exists (slug plan-curtailment) and holds the substantive definition, so the pointer resolves. The DANGLING flag is a false positive, and the HOMONYM flag reflects a redirect rather than a conflicting definition."
curtailment,curtailment,DANGLING,False,True,True,one model,2,"The pointer target 'Plan Curtailment' does not exist as a glossary term; the actual defining entry is titled 'curtailment' (slug plan-curtailment), so the pointer resolves to a nonexistent name."
curtailment,curtailment,HOMONYM,False,True,True,one model,2,Two entries share the name 'curtailment' with different content and no disambiguating scope note.
date-of-demutualization,date of demutualization,UNDEF,True,False,False,one model,1,"The entry relies on 'plan of reorganization' in the demutualization sense, which no glossary entry defines. The glossary's reorganization terminology is bankruptcy-oriented (Topic 852). The meaning is clear from the Subtopic 805-944 context, so the harm is minor."
day-one-bonus,day-one bonuses,POINTER,True,True,True,both models,2,"This is a pointer-only entry that refers to the Immediate Bonus definition. The target is an existing glossary term, so the pointer resolves."
debt-equity-swap,Debt-equity swap,INCONS,True,False,False,one model,2,"The definition gives only a generic class and nothing that sets it apart. It would cover any exchange of a monetary asset for a nonmonetary one. Subtopic 310-942 uses the term for the specific conversion of U.S.-dollar-denominated debt of financially troubled countries into equity or local-currency investments, so the definition is much broader than the Codification's use."
deductible-temporary-difference,deductible temporary difference,CIRC,True,True,True,both models,2,"The entry is part of a dependency cycle: temporary difference -> tax position -> deferred income tax assets -> deferred tax asset -> deductible temporary differences. The link back runs only through the incidental measurement reference in tax position, so understanding this entry does not actually require it."
deductible-temporary-difference,deductible temporary difference,POINTER,False,True,False,one model,1,"The entry appends a bare cross-reference rather than integrating the needed content, pushing the reader to another entry that is itself part of the same circular cluster."
deferred-acquisition-costs-tax,deferred acquisition costs tax,INCONS,False,True,False,one model,1,"The entry itself warns that the term's use in practice diverges from the definition given, which is a mild inconsistency-with-use caveat rather than a fatal defect."
deferred-tax-asset,deferred tax asset,CIRC,True,True,True,both models,2,"This entry relies on deferred tax consequences and deductible temporary difference. Both of those lead through temporary difference and tax position, and tax position refers back to deferred income tax assets. The cycle is formal and weak, and each term can still be understood."
deferred-tax-consequences,deferred tax consequences,CIRC,True,True,True,both models,2,"The entry sits in the income-tax strongly connected component through temporary difference, tax position and deferred tax asset. The circular link comes only from an incidental reference in tax position, and the definition remains applicable."
deferred-tax-expense-or-benefit,Deferred Tax Expense (or Benefit),STALE,True,False,False,one model,1,'Purchase business combination' is pre-Codification purchase-method terminology. Topic 805 now uses the acquisition method and simply says 'business combination'.
deferred-tax-expense-or-benefit,Deferred Tax Expense (or Benefit),MALFORMED,True,False,False,one model,1,"The last sentence describes intraperiod tax allocation of total income tax expense. It does not define deferred tax expense, so it reads as misplaced text within the entry."
defined-benefit-plan,Defined Benefit Plan,SCOPECONF,True,False,False,one model,1,"The entry bundles several distinct subdefinitions (health and welfare, pension, postretirement), each with its own scope. The residual 'not defined contribution' tests apply only within particular Subtopics, and the health and welfare variant states no scope at all."
defined-contribution-plan,Defined Contribution Plan,HOMONYM,True,False,False,one model,1,"Three variant definitions are concatenated with slightly different benefit determinants: the general definition, the health and welfare variant ('expenses') and the postretirement variant ('solely'). The entry does not state the Topic or Subtopic in which each variant applies."
delayed-equity-investment,Delayed Equity Investment,STALE,True,False,False,one model,1,"'Lease inception' is Topic 840 terminology. The definition survives only for grandfathered leveraged leases under Topic 842, which uses 'inception date of the lease' and 'commencement date'."
demutualization,demutualizations,MALFORMED,False,True,False,one model,1,"The entry key/name 'demutualization' is singular while the glossary term header is plural 'demutualizations'; a minor naming mismatch, not affecting substance."
deposit-method,deposit method,UNDEF,True,False,False,one model,1,'Ultimate premium' is a technical insurance term that has no glossary definition. Its meaning is inferable only from context in Topic 944.
derivative-instrument,derivative instruments,POINTER,True,True,True,both models,2,"The entry contains no definitional content. It points to 57 paragraphs of Subtopic 815-10, so a reader must work through a long span of guidance to extract the definition. The detector's DANGLING flag is not supported: the referenced range is the current definition section of 815-10-15."
derivative-instrument,derivative instruments,DANGLING,False,True,True,one model,1,"Some of the cited paragraph numbers in this long run (e.g., higher-numbered ones) may not correspond to current, non-superseded text in 815-10-15; without confirmation this is a potential dangling pointer, though not certain from the snapshot alone."
