slug,term,target,detector_kind,in_snapshot_parquet,in_crawl_paragraph_table,resolved_citation,verdict,reason
grant-related-to-income,Grant Related to Income,832-10-65-2A,paragraph not in snapshot,False,False,832-10-65-2,artifact,"Pending-text concatenation: the entry embeds ""...832-10-65-2"" immediately followed by the next sentence (""A...""), so the detector read ""832-10-65-2A"". Transition paragraph 832-10-65-2 exists (Accounting Standards Update No. 2025-10The following represe...)."
immediate-family,immediate family,942-210-S99-1,paragraph not in snapshot,False,False,210-942-S99-1,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 210-942-S99-1: the crawler entered industry subtopic 942-210 through Topic 210's cross-reference view and derived citations from that path. The raw HTML body cites it as 942-210-S99-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
income-taxes-currently-payable-refundable,income taxes currently payable,Current Tax Expense,pointer to a term with no entry,False,False,"glossary slug current-tax-expense-or-benefit (labelled ""Current Tax Expense (or Benefit)"")",artifact,"Pointer text ""Current Tax Expense (or Benefit)"" is intact; the target entry exists (slug current-tax-expense-or-benefit). Detector compared against the site dataset's display label ""Current Tax Expense (or Benefit)"", which is taken from paragraph link text; the detector also cut the name at ""("" (read ""Current Tax Expense"")."
libor-swap-rate,LIBOR Swap Rate,London Interbank Offered Rate,pointer to a term with no entry,False,False,"glossary slug london-interbank-offered-rate-libor-swap-rate (labelled ""London Interbank Offered Rate (LIBOR) Swap Rate"")",artifact,"Pointer text ""London Interbank Offered Rate (LIBOR) Swap Rate"" is intact; the target entry exists (slug london-interbank-offered-rate-libor-swap-rate). Detector compared against the site dataset's display label ""London Interbank Offered Rate (LIBOR) Swap Rate"", which is taken from paragraph link text; the detector also cut the name at ""("" (read ""London Interbank Offered Rate"")."
london-interbank-offered-rate-swap-rate,London Interbank Offered Rate (LIBOR),815-20-65-4,paragraph is a superseded placeholder,True,True,815-20-65-4,superseded_target,"Target 815-20-65-4 exists but reads ""Paragraph superseded on 12/14/2022 after the end of the transition period stated in Accounting Standards Update No. 2018-16, Derivatives and Hedging (Topic 815): Inclusio"". The entry still carries the transition note (""(P)/(N) ... 815-20-65-4Glossary term superseded by ..."") that points to this removed transition paragraph, so the glossary keeps a pre-transition definition plus a note whose anchor is gone."
natural-expense-classification,Natural Expense Classification,220-40-65-1A,paragraph not in snapshot,False,False,220-40-65-1,artifact,"Pending-text concatenation: the entry embeds ""...220-40-65-1"" immediately followed by the next sentence (""A...""), so the detector read ""220-40-65-1A"". Transition paragraph 220-40-65-1 exists (Accounting Standards Update 2024-03The following represents...)."
nonmanaging-investors,nonmanaging investors,Nonregistered Investment Partnerships—Financial Highlights,pointer to a term with no entry,False,False,"glossary slug nonregistered-investment-partnerships-financial-highlights (labelled ""financial highlights"")",artifact,"Pointer text ""Nonregistered Investment Partnerships—Financial Highlights"" is intact; the target entry exists (slug nonregistered-investment-partnerships-financial-highlights). Detector compared against the site dataset's display label ""financial highlights"", which is taken from paragraph link text."
obligation,Obligation,105-10-65-9A,paragraph not in snapshot,False,False,105-10-65-9,artifact,"Pending-text concatenation: the entry embeds ""...105-10-65-9"" immediately followed by the next sentence (""A...""), so the detector read ""105-10-65-9A"". Transition paragraph 105-10-65-9 exists (Accounting Standards Update 2024-02The following represents...)."
ordinary-course-of-business,ordinary course of business,942-210-S99-1,paragraph not in snapshot,False,False,210-942-S99-1,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 210-942-S99-1: the crawler entered industry subtopic 942-210 through Topic 210's cross-reference view and derived citations from that path. The raw HTML body cites it as 942-210-S99-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
plan-s-benefit-formula,plan's benefit formula,Pension Benefit Formula,pointer to a term with no entry,False,False,"glossary slug pension-benefit-formula (labelled ""plan's benefit formula"")",artifact,"Pointer text ""Pension Benefit Formula"" is intact; the target entry exists (slug pension-benefit-formula). Detector compared against the site dataset's display label ""plan's benefit formula"", which is taken from paragraph link text."
postretirement-benefit-plan,postretirement benefit plan,Plan,pointer to a term with no entry,False,False,"glossary slug plan (labelled ""plans"")",artifact,"Pointer text ""Plan"" is intact; the target entry exists (slug plan). Detector compared against the site dataset's display label ""plans"", which is taken from paragraph link text."
properties,Properties,932-235-50-7,paragraph not in snapshot,False,False,235-932-50-7,artifact,"The paragraph exists in the crawl but under a transposed key 235-932-50-7: the crawler entered industry subtopic 932-235 through Topic 235's cross-reference view and derived citations from that path. The raw HTML body cites it as 932-235-50-7. Not missing from FASB and not missing from the crawl, only mis-keyed."
regulatory-assets-and-regulatory-liabilities,regulatory assets and regulatory liabilities,980-340-25-1,paragraph not in snapshot,False,False,340-980-25-1,artifact,"The paragraph exists in the crawl but under a transposed key 340-980-25-1: the crawler entered industry subtopic 980-340 through Topic 340's cross-reference view and derived citations from that path. The raw HTML body cites it as 980-340-25-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
regulatory-assets-and-regulatory-liabilities,regulatory assets and regulatory liabilities,980-405-25-1,paragraph not in snapshot,False,False,405-980-25-1,artifact,"The paragraph exists in the crawl but under a transposed key 405-980-25-1: the crawler entered industry subtopic 980-405 through Topic 405's cross-reference view and derived citations from that path. The raw HTML body cites it as 980-405-25-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
significant-changes,significant,926-20-65-2,paragraph is a superseded placeholder,True,True,926-20-65-2,superseded_target,"Target 926-20-65-2 exists but reads ""Paragraph superseded on 12/14/2022 after the end of the transition period stated in Accounting Standards Update No. 2019-02, Entertainment—Films—Other Assets—Film Costs ("". The entry still carries the transition note (""(P)/(N) ... 926-20-65-2Glossary term superseded by ..."") that points to this removed transition paragraph, so the glossary keeps a pre-transition definition plus a note whose anchor is gone."
significant-oil-and-gas-producing-activities,Significant Activities,932-235-50-24,paragraph not in snapshot,False,False,235-932-50-24,artifact,"The paragraph exists in the crawl but under a transposed key 235-932-50-24: the crawler entered industry subtopic 932-235 through Topic 235's cross-reference view and derived citations from that path. The raw HTML body cites it as 932-235-50-24. Not missing from FASB and not missing from the crawl, only mis-keyed."
significant-geographic-area,significant geographic area,942-235-S99-1,paragraph not in snapshot,False,False,235-942-S99-1,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 235-942-S99-1: the crawler entered industry subtopic 942-235 through Topic 235's cross-reference view and derived citations from that path. The raw HTML body cites it as 942-235-S99-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
theoretical-investment,theoretical investment,Nonregistered Investment Partnerships—Financial Highlights,pointer to a term with no entry,False,False,"glossary slug nonregistered-investment-partnerships-financial-highlights (labelled ""financial highlights"")",artifact,"Pointer text ""Nonregistered Investment Partnerships—Financial Highlights"" is intact; the target entry exists (slug nonregistered-investment-partnerships-financial-highlights). Detector compared against the site dataset's display label ""financial highlights"", which is taken from paragraph link text."
trading,trading,948-310-40-1,paragraph not in snapshot,False,False,310-948-40-1,artifact,"The paragraph exists in the crawl but under a transposed key 310-948-40-1: the crawler entered industry subtopic 948-310 through Topic 310's cross-reference view and derived citations from that path. The raw HTML body cites it as 948-310-40-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
unitized,unitized,Nonregistered Investment Partnerships—Financial Highlights,pointer to a term with no entry,False,False,"glossary slug nonregistered-investment-partnerships-financial-highlights (labelled ""financial highlights"")",artifact,"Pointer text ""Nonregistered Investment Partnerships—Financial Highlights"" is intact; the target entry exists (slug nonregistered-investment-partnerships-financial-highlights). Detector compared against the site dataset's display label ""financial highlights"", which is taken from paragraph link text."
valuation-of-assets,Valuation of assets,962-205-S99-1,paragraph not in snapshot,False,False,205-962-S99-1,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 205-962-S99-1: the crawler entered industry subtopic 962-205 through Topic 205's cross-reference view and derived citations from that path. The raw HTML body cites it as 962-205-S99-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
value,Value,946-320-S99-12,paragraph not in snapshot,False,False,320-946-S99-12,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 320-946-S99-12: the crawler entered industry subtopic 946-320 through Topic 320's cross-reference view and derived citations from that path. The raw HTML body cites it as 946-320-S99-12. Not missing from FASB and not missing from the crawl, only mis-keyed."
variable-interests,Variable Interests,810-10-55-33,paragraph is a superseded placeholder,True,True,810-10-55-33,artifact,"Target is inside a paragraph range written as a run-on list in the entry; 810-10-55-33 reads ""Paragraph superseded by Accounting Standards Update No. 2009-17."". Placeholders inside a live range are normal FASB numbering practice; the range as a whole is live."
variable-interests,Variable Interests,810-10-55-34,paragraph is a superseded placeholder,True,True,810-10-55-34,artifact,"Target is inside a paragraph range written as a run-on list in the entry; 810-10-55-34 reads ""Paragraph superseded by Accounting Standards Update No. 2009-17."". Placeholders inside a live range are normal FASB numbering practice; the range as a whole is live."
variable-interests,Variable Interests,810-10-55-35,paragraph is a superseded placeholder,True,True,810-10-55-35,artifact,"Target is inside a paragraph range written as a run-on list in the entry; 810-10-55-35 reads ""Paragraph superseded by Accounting Standards Update No. 2009-17."". Placeholders inside a live range are normal FASB numbering practice; the range as a whole is live."
variable-interests,Variable Interests,810-10-55-36,paragraph is a superseded placeholder,True,True,810-10-55-36,artifact,"Target is inside a paragraph range written as a run-on list in the entry; 810-10-55-36 reads ""Paragraph superseded by Accounting Standards Update No. 2009-17."". Placeholders inside a live range are normal FASB numbering practice; the range as a whole is live."
