defect,slug,term,verdict,source_cited,source_status,pending_transition,linking_subtopics,note,canonical_headwords,entry_self_scopes
HOMONYM,interest-cost-component-of-net-periodic-postretirement-benefit-cost,Interest cost,confirmed,,,,715-60[715-60-35-9],"Linked from 715-60-35-9 as ""Interest cost"".",,False
HOMONYM,interest-cost,Interest Cost,confirmed,,,,"835-20[835-20-00-1,835-20-05-1,835-20-10-2,835-20-15-2]","835-20 capitalized-interest meaning vs the 715-30/715-60 net-periodic-cost components. The component entries are told apart only by the headword suffix, and the bare phrase ""interest cost"" has two unrelated meanings (borrowing cost capitalized vs growth of benefit obligation).",InterestCost (def. in 835-20),False
HOMONYM,market,market,confirmed,,,,"230-926[230-926-05-1]; 330-10[330-10-00-1,330-10-35-1C,330-10-35-7,330-10-55-2]; 720-926[720-926-05-1]; 926-10[926-10-15-2]; 926-20[926-20-35-5]","Slug ""market"" carries two different FASB definitions in the crawl: 330-10 (""As used in the phrase lower of cost or market, the term market means current replacement cost..."") linked from 330-10, and 926-10 (""A distribution channel within a certain territory..."") linked from 230-926, 720-926, 926-10, 926-20. Only the 330-10 text scopes itself (""As used in the phrase...""). FASB status tables label ""Market (1st def.)""/""(2nd def.)"".",Market (def. in 330-10); Market (def. in 926-10),False
HOMONYM,market-condition,market,label_artifact,,,,"718-10[718-10-15-3,718-10-25-1,718-10-30-14,718-10-35-4]; 718-20[718-20-55-52]","Headword is MarketCondition (718-10); label ""market"" comes from link text ""market"" in 718 paragraphs.",MarketCondition (def. in 718-10),True
HOMONYM,mortality,mortality,label_artifact,,,,"605-944[605-944-25-9,605-944-30-2]; 715-30[715-30-35-1A]; 805-944[805-944-05-14]; 944-20[944-20-05-17,944-20-10-2,944-20-15-16]; 944-40[944-40-30-7,944-40-35-5,944-40-55-14]; 944-60[944-60-25-7]; 944-80[944-80-05-2]","Headword ""Mortality"" (944-805) vs ""Mortality Rate"" (715-30, linked once from 715-30-55-60 with link text ""mortality""). Different headwords; definitions are compatible.",Mortality (def. in 944-805),False
HOMONYM,mortality-rate,mortality,label_artifact,,,,715-30[715-30-55-60],See mortality.,MortalityRate (def. in 715-30),False
HOMONYM,pension-benefit-formula,plan's benefit formula,pointer,,,,715-30[715-30-05-4],"""Plan's Benefit Formula"" is ""See Pension Benefit Formula."" Both in 715-30. Separately, slug benefit-formula carries two texts: a 715-30 pointer and a 715-60 substantive definition (""The basis for determining benefits ... under a postretirement benefit plan"").",PensionBenefitFormula (def. in 715-30),False
HOMONYM,plan-s-benefit-formula,plan's benefit formula,pointer,,,,"715-30[715-30-35-1A,715-30-55-7]",Synonym pointer.,Plan_sBenefitFormula (def. in 715-30),False
HOMONYM,probable,Probable,confirmed_other,,,,"205-20[205-20-00-1,205-20-45-1E]; 205-40[205-40-00-1,205-40-50-6,205-40-55-3]; 310-10[310-10-25-20]; 310-20[310-20-35-13]; 323-740[323-740-25-1,323-740-25-3]; 325-30[325-30-35-3]; 350-40[350-40-00-1,350-40-25-12,350-40-55-7]; 360-10[360-10-45-9]; 450-20[450-20-05-6,450-20-25-1,450-20-50-2,450-20-55-2]; 460-10[460-10-25-3,460-10-25-6,460-10-30-4,460-10-55-7]; 470-10[470-10-45-11]; 470-20[470-20-00-1,470-20-35-11A,470-20-50-2C]; 605-944[605-944-35-7]; 605-985[605-985-00-1,605-985-25-7]; 606-10[606-10-00-1,606-10-05-4,606-10-32-11,606-10-55-3A]; 705-20[705-20-00-1,705-20-25-10]; 715-30[715-30-55-179]; 718-10[718-10-25-20,718-10-25-9,718-10-30-20A,718-10-55-74]; 718-20[718-20-55-10,718-20-55-37,718-20-55-49,718-20-55-66]; 730-20[730-20-25-5]; 805-20[805-20-00-1,805-20-25-15B]; 815-20[815-20-00-1,815-20-25-15]; 815-944[815-944-55-3]; 818-10[818-10-00-1]; 818-20[818-20-00-1,818-20-25-1,818-20-35-3,818-20-40-2]; 818-30[818-30-00-1,818-30-55-10]; 832-10[832-10-00-1,832-10-25-1]; 842-10[842-10-00-1,842-10-25-3,842-10-30-5,842-10-35-4]; 842-20[842-20-00-1,842-20-35-5,842-20-55-1,842-20-55-7]; 842-30[842-30-00-1,842-30-25-12,842-30-25-3,842-30-40-1]; 944-20[944-20-10-3]; 944-30[944-30-35-20]; 944-40[944-40-25-29,944-40-30-16,944-40-55-3]; 944-60[944-60-25-2]","Detector pairing with Probable Reserves (930-10) is a label artifact. But ""Probable"" is a FASB-acknowledged homonym: status tables label ""Probable (2nd def.)"" (205-20, 310-40, 605-985, 606-10), and 410-20-25-2/-3 state that probable in the CON 6 liability definition ""is used with its usual general meaning, rather than in a specific accounting or technical sense (such as that in paragraph 450-20-25-1)"". The crawl collapses both into one slug and text (""The future event or events are likely to occur."").",Probable (def. in 450-20),False
HOMONYM,probable-reserves,probable,label_artifact,,,,255-10[255-10-50-17]; 805-930[805-930-30-1],"Headword ProbableReserves (930-10), linked from 255-10 and 805-930.",ProbableReserves (def. in 930-10),False
HOMONYM,settlement-of-a-pension-or-postretirement-benefit-obligation,settlement,label_artifact,,,,"205-20[205-20-45-5]; 715-30[715-30-05-9,715-30-15-6,715-30-35-43,715-30-35-74]; 715-60[715-60-05-12,715-60-15-15,715-60-35-150,715-60-35-38]","Headword ""Settlement"" (pension sense) vs ""Settlement of an Award"" (718-10). The bare headword ""Settlement"" means only the pension sense, but 205-20-45-5 links it in the context ""settlement of employee benefit plan obligations"", which fits.",Settlement (def. in 205-20),False
HOMONYM,settlement-of-an-award,settlement,label_artifact,,,,"718-10[718-10-15-3,718-10-25-11,718-10-30-3,718-10-35-14]; 718-20[718-20-35-1,718-20-55-3]; 718-30[718-30-30-1,718-30-35-1,718-30-55-3]; 718-40[718-40-25-14]","Headword SettlementofanAward, linked only from 718-10/20/30/40.",SettlementofanAward (def. in 718-10),False
HOMONYM_HIDDEN,activities,activities,confirmed,,,,"[835-20] 360-10,835-20 || [958-720] 720-958","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Activities (def. in 835-20); Activities (def. in 958-720),False
HOMONYM_HIDDEN,agent,agent,confirmed,,,,"[860-10] 605-958,860-10,860-20,860-30 || [958-605] 205-958,220-958,320-958,325-958,405-958,605-958,720-958,810-958,958-30","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Agent (def. in 860-10); Agent (def. in 958-605),False
HOMONYM_HIDDEN,annuity-contract,annuity contract,confirmed,,,,"[715-30] 715-30 || [944-20] 944-20,944-30","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",AnnuityContract (def. in 944-20); AnnuityContract_01 (def. in 715-30),False
HOMONYM_HIDDEN,benefit-formula,benefit formula,confirmed,,,,[715-30] 715-30 || [715-60] 715-60,"One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",BenefitFormula (def. in 715-30); BenefitFormula (def. in 715-60),False
HOMONYM_HIDDEN,carrying-amount,carrying amount,confirmed,,,,"[470-60] 310-20,470-60 || [944-805] 360-944,805-944,825-944,944-40,944-80","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",CarryingAmount (def. in 470-60); CarryingAmount (def. in 944-805),False
HOMONYM_HIDDEN,claim,claim,confirmed,,,,"[852-10] 852-10 || [944-80] 360-944,605-944,805-944,944-20,944-40,944-60","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Claim (def. in 852-10); Claim (def. in 944-80),False
HOMONYM_HIDDEN,control,control,confirmed,,,,"[805-10] 805-10,805-20,805-50,805-60 || [850-10] 310-20,850-10 || [958-810] 605-958,805-958,810-954,810-958","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Control (def. in 805-10); Control (def. in 850-10); Control (def. in 958-810),False
HOMONYM_HIDDEN,employee,employee,confirmed,,,,"[718-10] 220-40,718-10,718-20,718-30,718-40,718-50 || [960-10] 205-960,960-10,960-20","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Employee (def. in 718-10); Employee (def. in 960-10),False
HOMONYM_HIDDEN,equity-security,Equity Security,variant_text,,,,"[320-10] 321-10,321-958,605-958,820-10 || [715-10] 715-60","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",EquitySecurity (def. in 320-10); EquitySecurity (def. in 715-10),False
HOMONYM_HIDDEN,fair-value,Fair Value,confirmed,,,,"[718-10] 718-10,718-20,718-30,718-50,718-740 || [820-10] 205-30,205-946,205-965,210-946,220-40,230-10,255-10,275-10,310-10,310-20,310-942,310-948,310-958,320-10,320-940,320-946,320-958,320-965,321-10,323-946,325-940,325-946,325-958,325-962,325-965,326-20,326-30,340-940,350-60,360-20,360-944,360-958,360-965,405-958,410-20,460-10,470-20,470-30,470-50,470-60,480-10,505-20,505-30,605-958,715-70,718-30,718-40,718-740,720-958,740-805,805-10,805-20,805-30,805-40,805-50,805-60,805-944,805-958,810-10,810-30,810-946,810-958,815-10,815-15,815-20,815-25,815-30,815-35,815-40,815-45,815-944,818-10,818-20,818-30,820-10,820-940,825-10,825-20,830-946,832-10,835-30,842-10,842-20,842-30,842-40,842-50,845-10,940-20,944-20,944-40,944-80,946-10,946-20,958-20,958-30,965-20,978-10","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",FairValue (def. in 718-10); FairValue (def. in 820-10),False
HOMONYM_HIDDEN,general-account,general account,confirmed,,,,"[944-40] 815-944,944-20,944-30,944-40,944-80 || [960-10] 960-10","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",GeneralAccount (def. in 944-40); GeneralAccount (def. in 960-10),False
HOMONYM_HIDDEN,loan,loan,variant_text,,,,"[310-10] 310-10,326-10,326-20,326-30 || [310-30] 310-20","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Loan (def. in 310-10); Loan (def. in 310-30),False
HOMONYM_HIDDEN,make-whole-provision,make-whole provision,confirmed,,,,[815-20] 815-20 || [815-40] 815-40,"One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Make-WholeProvision (def. in 815-20); Make-WholeProvision (def. in 815-40),False
HOMONYM_HIDDEN,market,market,confirmed,,,,"[330-10] 330-10 || [926-10] 230-926,720-926,926-10,926-20","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Market (def. in 330-10); Market (def. in 926-10),True
HOMONYM_HIDDEN,market-value-annuity,market value annuity,confirmed,,,,"[815-15] 815-15 || [944-20] 944-20,944-30,944-40","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",MarketValueAnnuity (def. in 815-15); MarketValueAnnuity (def. in 944-20),False
HOMONYM_HIDDEN,net-cash-settlement,net cash settlement,confirmed,,,,[480-10] 480-10 || [815-40] 815-40,"One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",NetCashSettlement (def. in 480-10); NetCashSettlement (def. in 815-40),False
HOMONYM_HIDDEN,net-share-settlement,net share settlement,confirmed,,,,"[480-10] 480-10 || [815-40] 815-10,815-40","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",NetShareSettlement (def. in 480-10); NetShareSettlement (def. in 815-40),False
HOMONYM_HIDDEN,nonparticipating-insurance-contract,nonparticipating insurance contracts,confirmed,,,,[715-60] 715-60 || [944-805] 805-944,"One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",NonparticipatingInsuranceContract (def. in 715-60); NonparticipatingInsuranceContract (def. in 944-805),False
HOMONYM_HIDDEN,nonpublic-entity,Nonpublic Entity,confirmed,,,,"[715-10] 715-20 || [718-10] 480-10,718-10,718-20,718-30 || [740-10] 715-80,740-10","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",NonpublicEntity (def. in 715-10); NonpublicEntity (def. in 718-10); NonpublicEntity (def. in 740-10),False
HOMONYM_HIDDEN,nonreciprocal-transfer,Nonreciprocal Transfer,confirmed,,,,"[845-10] 220-40,350-10,360-972,405-20,605-958,805-20,810-10,815-10,818-10,818-20,818-30,825-10,832-10,845-10 || [958-605] 605-958","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",NonreciprocalTransfer (def. in 845-10); NonreciprocalTransfer (def. in 958-605),False
HOMONYM_HIDDEN,persistency,persistency,confirmed,,,,"[944-80] 805-944,944-30,944-40 || [946-20] 946-20","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Persistency (def. in 944-80); Persistency (def. in 946-20),False
HOMONYM_HIDDEN,plan-assets,Plan Assets,confirmed,,,,"[715-30] 205-960,715-30,960-20,960-30 || [715-60] 205-965,310-965,325-965,360-965,715-60,965-20,965-30","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",PlanAssets (def. in 715-30); PlanAssets (def. in 715-60),False
HOMONYM_HIDDEN,public-entity,Public Entity,confirmed,,,,"[280-10] 280-10,605-954,740-10,805-10,805-954,805-958 || [718-10] 718-10,718-20,718-30,718-40 || [740-10] 740-10","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",PublicBusinessEntity_PublicEntity_ (def. in 280-10); PublicEntity (def. in 718-10); PublicEntity (def. in 740-10),True
HOMONYM_HIDDEN,publicly-traded-company,Publicly traded companies,confirmed,,,,"[270-10] 220-10,270-10 || [932-10] 235-932","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",PubliclyTradedCompany (def. in 270-10); PubliclyTradedEntity (def. in 932-10),False
HOMONYM_HIDDEN,security,Security,confirmed,,,,"[260-10] 260-10 || [320-10] 220-40,320-10,320-958,321-10,470-10,470-20,606-952,805-60,815-40,832-10,860-20,860-30","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Security (def. in 260-10); Security (def. in 320-10),False
HOMONYM_HIDDEN,separate-account,separate account,confirmed,,,,"[944-80] 815-944,944-20,944-30,944-40,944-80 || [960-10] 205-960","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",SeparateAccount (def. in 944-80); SeparateAccount (def. in 960-10),True
HOMONYM_HIDDEN,sponsor,Sponsor,confirmed,,,,"[715-30] 205-960,205-962,325-962,960-20,960-30,962-10 || [810-30] 730-20,810-30","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Sponsor (def. in 715-30); Sponsor (def. in 810-30),False
HOMONYM_HIDDEN,transfer,Transfer,confirmed,,,,"[480-10] 480-10 || [860-10] 860-10,860-20,860-30,860-50","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Transfer (def. in 480-10); Transfer (def. in 860-10),True
HOMONYM_HIDDEN,trustee,trustee,confirmed,,,,"[852-10] 605-958,852-10 || [958-605] 205-958,220-958,605-958,720-958,958-20,958-30","One slug, several different definitions in raw paragraph links (title attribute). glossary_clean keeps one text, so this homonym is invisible to the detector.",Trustee (def. in 852-10); Trustee (def. in 958-605),False
